id;tipoResiduo;direccion;longitud;latitud;nivelLlenado;alerta;fecha
1524749;resto;Oca N°57 CV Abolengo;-3.73863514962696;40.389092375324;2;;2021-08-02T06:42:29.000+0200
1524750;resto;Mendez Álvaro N°40 (Junto Plaza Y Parque Infantil);-3.68458727672462;40.3992946923199;0;;2021-08-02T05:53:20.000+0200
1524754;resto;Gral. Ricardos N°153 CV Gta. Valle Del Oro;-3.73120254183338;40.3887804490675;0;;2021-08-02T05:39:04.000+0200
1524752;resto;Playa De Barlovento N°14;-3.5937656965486;40.4734405409956;2;;2021-08-02T05:50:30.000+0200
1524751;resto;Alcalá CV Josefa Valcarcel (Metro Canillejas);-3.60929243112922;40.4490464228906;0;;2021-08-02T06:30:24.000+0200
1524755;envases;Alcalá CV Josefa Valcarcel (Metro Canillejas);-3.60927826232674;40.4490321948506;0;;2021-08-02T05:48:51.000+0200
1524758;resto;Dulce Chacon (Cercanías Fuente De La Mora);-3.66316869696012;40.4846431299069;0;;2021-08-02T06:13:01.000+0200
1524763;envases;Av. Monforte De Lemos Entra Vaguada;-3.70630754332284;40.4791216491759;0;;2021-08-02T05:46:35.000+0200
1524761;resto;Calderilla N°3;-3.73838362599413;40.3649606301541;2;;2021-08-02T06:32:25.000+0200
1524762;resto;Melchor Fdez. Almagro N°80 CV Pz De Tuy;-3.71016978839052;40.4755803510375;0;;2021-08-02T06:27:37.000+0200
1524760;resto;María De Maeztu CV María Casares;-3.72395879126702;40.4937809923576;8;LLENA;2021-08-02T06:37:19.000+0200
1524759;resto;Calderilla N°1 CV Thaler;-3.73780798188448;40.365325429742;2;;2021-08-02T06:14:22.000+0200
1524737;envases;Pza. Agata FTE. N°4;-3.70829737556214;40.3463314583286;0;;2021-08-02T06:29:14.000+0200
1524736;envases;Esteban Mora Mercado San Pascual;-3.65426850677414;40.4386645845771;10;LLENA;2021-08-02T05:30:19.000+0200
1524766;resto;Ravena N°18;-3.6140337097581;40.4191756893422;6;;2021-08-02T05:30:58.000+0200
1524765;resto;Av. Cardenal Herrera Oria N °242;-3.71786478981569;40.4824004516047;8;LLENA;2021-08-02T06:36:57.000+0200
1524769;envases;Arroyo Bueno N° 53 CV Vado De Santiago;-3.71139498017123;40.3491603431408;0;;2021-08-02T06:33:48.000+0200
1524770;resto;Av. De Guadalajara Junto Fla. 16-18 (C.C Las Rosas);-3.62118603023012;40.4190531908643;0;;2021-08-02T06:29:03.000+0200
1524771;envases;Plaza Mayor De Barajas N°10;-3.57769973494232;40.4740227029301;6;;2021-08-02T06:32:41.000+0200
1524773;resto;Aquitania Junto Fla.7 (C.C Las Rosas);-3.62056919180802;40.4179385704103;0;;2021-08-02T04:41:38.000+0200
1524775;resto;Boltaña (Centro Cultural Buero Vallejo);-3.61130751124383;40.4465329465028;2;;2021-08-02T06:53:14.000+0200
1524776;resto;Av. Monforte De Lemos CV Pz Fonsograda;-3.70822349993279;40.4783906665843;4;;2021-08-02T05:31:18.000+0200
1524779;resto;Arroyo Bueno N°53 CV Vado De Santiago;-3.71137937757395;40.3491580552881;0;;2021-08-02T06:59:41.000+0200
1524778;envases;Fuente De La Mora N°3 (Metro Ligero);-3.66330229031167;40.4855290709064;0;;2021-08-02T06:42:28.000+0200
1524781;envases;Plaza Liceo N°3;-3.64415960942667;40.4568807680307;0;;2021-08-02T05:40:00.000+0200
1524782;resto;Ayacucho N°6;-3.64063315708802;40.469825617197;0;;2021-08-02T06:07:52.000+0200
1524783;resto;Maria De Maeztu CV Juanita Cruz;-3.7220700746804;40.4956074485622;6;;2021-08-02T06:09:27.000+0200
1524784;envases;Glorieta Pilar Miro (Junta Municipal Hortaleza);-3.65747209884183;40.4632603117149;0;;2021-08-02T05:54:18.000+0200
1524785;resto;Aquitania CV Hungría (Centro Salud Aquitania);-3.61796373338725;40.4187066232458;2;;2021-08-02T05:29:49.000+0200
1524786;resto;Gta. Valle Del Oro FTE. N°2;-3.73123635114551;40.3884477147431;0;;2021-08-02T05:33:05.000+0200
1524789;envases;Plaza De Armería Entre Palacio Y Catedral;-3.71498772887112;40.4165671155248;0;;2021-08-02T05:29:56.000+0200
1524788;envases;Institución Libre De Enseñanza N°89;-3.62728227907828;40.4235095545289;0;;2021-08-02T06:17:44.000+0200
1524790;resto;María Tudor N°37;-3.65820309974847;40.497878431141;0;;2021-08-02T06:12:20.000+0200
1524792;resto;Alcalá CV Canillejas A Vicalvaro;-3.61699884084309;40.4435505821135;0;;2021-08-02T05:46:15.000+0200
1524791;resto;María Tudor N°20 (Metro Ligero);-3.65919975373036;40.4969836616715;0;;2021-08-02T06:24:41.000+0200
1524793;resto;Caoba 1 (Ies Juan De La Cierva);-3.70620316967158;40.4023958960397;4;;2021-08-02T06:46:32.000+0200
1524795;resto;Plaza De Santa Cruz;-3.7056769517296;40.4149083456643;4;;2021-08-02T06:12:48.000+0200
1524794;resto;Mayor 4;-3.70510428306477;40.4165382214883;6;;2021-08-02T05:51:35.000+0200
1524796;resto;Carretas 12;-3.70328552947039;40.4151349647949;0;;2021-08-02T06:07:25.000+0200
1524798;resto;Mayor FTE.44;-3.70875817197566;40.4158828830571;6;;2021-08-02T06:52:52.000+0200
1524797;resto;Plaza Isabel II (Salida Metro A Arenal);-3.70933681445176;40.4180369716504;4;;2021-08-02T05:41:12.000+0200
1524780;resto;P°Castellana 280 Semiesq. Manuel Caldeiro;-3.68617139605814;40.4763289759879;0;;2021-08-02T06:13:14.000+0200
1524799;envases;Plaza Callao (Junto Salida Metro);-3.7057681373235;40.4200053557011;2;;2021-08-02T06:59:07.000+0200
1524800;resto;Bailen Fla.214 Plaza De Armeria Entre Palacio Y Catedral;-3.71344389281113;40.4164086051005;0;;2021-08-02T06:49:16.000+0200
1524801;envases;Plaza Ángel 6 Junto Fla.20;-3.70185265436127;40.4143667002365;0;;2021-08-02T05:59:17.000+0200
1524802;envases;Plaza De Oriente fte. Carlos III FLA.48;-3.71145887221054;40.4180615030766;4;;2021-08-02T05:59:00.000+0200
1524804;envases;Mayor 4;-3.70507936134359;40.4165407572671;0;;2021-08-02T06:21:04.000+0200
1524803;envases;Plaza Ana Diosdado (Teatro);-3.70068132185616;40.4082735866454;0;;2021-08-02T05:46:41.000+0200
1524806;resto;Puerta De Toledo (Salida Metro);-3.71084573071622;40.406821520015;2;;2021-08-02T05:47:11.000+0200
1524805;envases;Carmen CV Galdo FTE. Banco Santander;-3.70405967694757;40.4181964546662;0;;2021-08-02T06:57:35.000+0200
1524809;envases;Plaza De Oriente Fla.185 (Frente Palacio);-3.71313106804122;40.4174123735563;0;;2021-08-02T05:59:12.000+0200
1524807;resto;Plaza Tirso De Molina FTE.20;-3.70373875094756;40.4124633516047;8;LLENA;2021-08-02T05:55:15.000+0200
1524810;resto;Carretas 13;-3.70321436993677;40.4160131758582;0;;2021-08-02T05:56:47.000+0200
1524808;resto;San Sebastián CV Huertas Junto Señal Parking Motos;-3.70152180114514;40.4140385734613;6;;2021-08-02T05:39:00.000+0200
1524813;resto;Pz Independencia 2;-3.68931908550024;40.4203810413009;4;;2021-08-02T05:56:33.000+0200
